"[133.0, 130.0, 160.0, 165.0, 181.0, 254.0]","[132.0, 140.0, 154.0, 212.0, 196.0, 212.0]","[188.0, 212.0, 251.0, 264.0, 305.0, 345.0]","[254.0, 335.0, 342.0, 416.0, 464.0, 525.0]","[401.0, 425.0, 484.0, 618.0, 656.0, 669.0]","[479.0, 621.0, 622.0, 778.0, 882.0, 1572851383534876.5]"
"[50.0, 44.0, 49.0, 187.0, 165.0, 89.0]","[54.0, 172.0, 132.0, 106.0, 146.0, 73.0]","[189.0, 135.0, 98.0, 165.0, 285.0, 235.0]","[200.0, 93.0, 272.0, 281.0, 281.0, 287.0]","[157.0, 368.0, 200.0, 182.0, 325.0, 232.0]","[179.0, 221.0, 241.0, 205.0, 346.0, 4.516834053193984e+79]"
"[33.0, 26.0, 42.0, 51.0, 53.0, 43.0]","[51.0, 69.0, 49.0, 76.0, 68.0, 72.0]","[37.0, 90.0, 57.0, 66.0, 87.0, 145.0]","[95.0, 71.0, 79.0, 125.0, 159.0, 230.0]","[64.0, 95.0, 165.0, 166.0, 185.0, 150.0]","[71.0, 119.0, 164.0, 155.0, 256.0, 1.77070601901e-312]"
