"[0.8612244897959184, 0.8734693877551021, 0.8979591836734694, 0.9115646258503401, 0.8530612244897959, 0.8789115646258503, 0.8503401360544217]","[0.8367346938775511, 0.8761904761904762, 0.8408163265306122, 0.8530612244897959, 0.8761904761904762, 0.9061224489795918, 0.8816326530612245]","[0.908843537414966, 0.8884353741496599, 0.9210884353741496, 0.9197278911564626, 0.8952380952380953, 0.8993197278911564, 0.9129251700680272]","[0.8993197278911564, 0.8653061224489796, 0.9306122448979591, 0.8775510204081632, 0.9333333333333333, 0.9346938775510204, 0.9102040816326531]","[0.8571428571428571, 0.8952380952380953, 0.8979591836734694, 0.8870748299319728, 0.9238095238095239, 0.9238095238095239, 0.9414965986394558]","[0.9292517006802721, 0.891156462585034, 0.8748299319727891, 0.8394557823129252, 0.9428571428571428, 0.9523809523809523, 0.9142857142857143]","[0.9605442176870749, 0.9115646258503401, 0.8707482993197279, 0.889795918367347, 0.9482993197278912, 0.9129251700680272, 0.9523809523809523]"
"[0.875, 0.8956043956043956, 0.8392857142857143, 0.9162087912087912, 0.8447802197802198, 0.9217032967032966, 0.8914835164835165]","[0.9024725274725275, 0.9354395604395604, 0.929945054945055, 0.945054945054945, 0.8997252747252747, 0.9244505494505495, 0.8901098901098901]","[0.9148351648351648, 0.9217032967032966, 0.9478021978021978, 0.9340659340659341, 0.967032967032967, 0.9519230769230769, 0.9162087912087912]","[0.9574175824175825, 0.9436813186813187, 0.9505494505494505, 0.9505494505494505, 0.9436813186813187, 0.9244505494505495, 0.9271978021978022]","[0.9505494505494505, 0.9587912087912088, 0.8846153846153846, 0.945054945054945, 0.9436813186813187, 0.9574175824175825, 0.9656593406593407]","[0.9162087912087912, 0.9560439560439561, 0.9258241758241759, 0.9560439560439561, 0.9230769230769231, 0.9587912087912088, 0.9587912087912088]","[0.9532967032967034, 0.9615384615384616, 0.8956043956043956, 0.978021978021978, 0.9368131868131868, 0.9835164835164835, 0.9354395604395604]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
