"[754.1620705656588, 739.4817807941008, 714.5904877581162, 769.8180219644214, 730.9289117357695, 755.2536760683519, 725.6784294795829]","[729.8490738746998, 694.2012100257149, 702.6877860681849, 732.9024705083066, 698.155460734783, 715.0549927321023, 723.046824601316]","[780.5296624561513, 739.6270753580893, 742.2312667723018, 727.8046810805505, 700.3364686739811, 693.3709032137891, 679.108396656256]","[644.598478711677, 693.5984293718967, 777.3653691874752, 740.7157308968374, 693.97172384754, 702.8996823991538, 723.5464695251404]","[625.3377651170135, 692.0830903128867, 719.2248487787348, 735.7622925660472, 677.3697672177743, 675.5075608794663, 665.520452600598]","[634.8627614335179, 646.0246118665916, 582.947918087056, 645.0756615225873, 695.2312437686453, 722.6498180678122, 701.4754259103297]","[663.9993776848718, 727.1646787451082, 613.4022565232168, 678.86666493936, 663.4033395115415, 660.7584938268062, 723.4051712932176]"
"[413.0496560740391, 452.5390828556656, 477.70746715484506, 424.188152626798, 421.22569986159465, 436.5423970536955, 455.18931648462257]","[417.3970006270995, 411.5209626793351, 422.8287407403742, 441.1766582815979, 441.66828324254044, 394.7692544600851, 419.30715121309197]","[412.20374215031194, 361.84088450606816, 384.7904252749995, 418.98175771167496, 398.79522971996573, 405.8113239041531, 388.77441051653096]","[464.7744715359951, 445.1130217449182, 437.51191785978693, 367.87859482822546, 369.79466788836044, 396.06225701530224, 452.3258028956084]","[428.60808990863893, 401.2017656162124, 441.4497185198792, 405.3873358798737, 393.96630057818203, 369.3827701906638, 383.90654162679783]","[369.28085231394897, 403.5031755330056, 442.76456327654887, 440.2785110491212, 296.8802064887375, 435.7482834267193, 348.4702845850654]","[545.1534990538138, 435.12424115844027, 418.3515409458746, 477.5391786681659, 391.62904100062684, 422.2499072050505, 379.06626996525745]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
