"[1054.7438852116516, 1279.8270219895712, 1224.0028377688407, 1294.355641346357, 1406.1702194868137, 1392.3015689667352, 1178.0078765638457]","[1004.4769899445654, 1195.1949488393336, 1478.6814129285115, 1052.853559149965, 1455.4303673242032, 1752.9706155652098, 1385.9233607175595]","[1106.0060403075793, 1251.24972802999, 1331.9707974137616, 1415.7432176870832, 1458.8086712758393, 1696.409824214377, 1487.6658018392004]","[1164.233962547726, 1193.9620574606265, 1344.059055656347, 1218.4115740116147, 1607.8050197108114, 1602.0843341832935, 1343.9563263323428]","[1141.1866690600139, 1593.973512071288, 1572.22958701295, 1354.741224895043, 1234.0233559731898, 1404.6259883042442, 1450.3109871938204]","[1880.3098443581255, 1396.7044121755187, 1398.652087981263, 1153.3913929244484, 1436.8781428321056, 1561.8376792476297, 1667.0536758303958]","[1379.7790233115438, 1172.9382565950025, 1375.2661538386271, 1364.964306408404, 1169.5278776448392, 1175.9188600361024, 1103.1215289091574]"
"[1112.698075262041, 1075.6766568825644, 1154.6900238708085, 1206.6896444527679, 1266.7139523821345, 1279.73427370441, 1268.44931014489]","[1117.4914534206216, 1351.7366418607878, 1380.159258237023, 1252.2668627820735, 1391.3695323412742, 1422.5400728591126, 1299.9531172857176]","[1169.1971185374953, 1371.1809377269133, 1373.1276976066442, 1329.3345687932147, 1297.364471286474, 1523.7256417526278, 1654.8255060898662]","[1737.967711405913, 1135.3042733735829, 1305.0104711225413, 1359.4624498858363, 1313.725545994463, 1454.107316947461, 1483.361811570304]","[1348.3790352469282, 1055.09560199574, 1137.974957916051, 1500.8521413692201, 1656.5196429965429, 1417.1568995730845, 1646.4187415818167]","[1410.7669888569133, 1884.762976523703, 1599.8342468755914, 1435.521374327361, 1282.0512050578918, 1326.4414097670322, 1422.9355867226432]","[1846.2371696893658, 1081.0089886218339, 1216.4833900241986, 1060.1985833786966, 1116.1124182168467, 1527.8095198662422, 1407.6736427239712]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
