"[0.8485804900579377, 0.8211439271202311, 0.7735967228007429]","[0.866140757283334, 0.824185616888105, 0.8401644559802308]","[0.8747196031721912, 0.8154276363776969, 0.7612998784159972]"
"[0.838301510901544, 0.8173262795236931, 0.7992671134002515]","[0.8653814678974953, 0.8207009443952631, 0.788991899335107]","[0.8658743074502442, 0.8242736279917113, 0.7854585251692028]"
"[0.8356121419338456, 0.8206261832072056, 0.7839477266189082]","[0.8666934307305072, 0.8581038909210488, 0.8055756176779317]","[0.8713185503951376, 0.8115557920581105, 0.7782107983256256]"
"[0.8386047769991682, 0.8094361725370995, 0.8036908604903966]","[0.8802820547603617, 0.8506859577977888, 0.7679586359098162]","[0.8736535277676276, 0.8139382470879799, 0.8010568069400149]"
"[0.852641667929045, 0.8294405562114089, 0.7970666395948152]","[0.8824425632327201, 0.8428745067639107, 0.8206134448032498]","[0.8643821683474999, 0.8446607563187025, 0.7681768527551146]"
