"[896.0105887142468, 802.4709793618324, 760.149374099361]","[908.7871669091058, 847.9005592287624, 898.0274716436112]","[966.9985754472413, 818.3498513322095, 771.7819139002152]"
"[860.0054564270442, 800.0177495391561, 781.7207914896383]","[909.4063430665451, 798.1346287302354, 795.9492509586579]","[906.5260097472461, 810.4255809831792, 735.8764950733076]"
"[822.0960229819198, 795.4324975603984, 727.4444445341148]","[891.117168372678, 863.507442622041, 760.3460076679651]","[912.3379201838268, 766.8032153108318, 720.5086559701108]"
"[828.7995229740677, 781.935581868853, 797.9761301420356]","[905.1749236552414, 823.8820347314364, 713.1758427886514]","[1004.3068172067417, 808.432747128634, 719.1579162691905]"
"[852.8751447496334, 808.1312560807713, 743.754477969483]","[890.4229140439777, 823.379166356448, 796.5213812216446]","[875.612928334221, 847.1515458947168, 701.5406956984591]"
