"[579.6860411114499, 581.3069923095603, 577.7644511723777]","[581.087216327923, 583.5999247031395, 578.9787969431017]","[580.263792352436, 583.4087231927444, 581.681506572595]"
"[577.2114399210873, 576.6463204665473, 575.3139333389081]","[579.430539583612, 574.2143026411918, 577.4836450764134]","[576.6699442263634, 576.1624555746832, 576.5938771316498]"
"[565.851266839546, 565.0843908238548, 565.3016153970993]","[567.2131365142014, 564.1123895903002, 565.9347563490938]","[566.3494708564544, 568.9087123637058, 567.7462977560847]"
"[562.1664192232595, 560.2578954923624, 559.7090341230033]","[559.6111861236507, 558.6054434354373, 558.8391491287113]","[562.1612805765382, 556.3596883818908, 561.3179343565529]"
"[563.4211807811719, 562.6042874581716, 561.1324029171363]","[561.4100460019321, 560.1278891231439, 562.3754560708632]","[559.9439149289798, 559.2890608768785, 561.9834036336371]"
