"[0.8598639455782313, 0.8666666666666667, 0.8680272108843538, 0.8843537414965986, 0.9034013605442177, 0.8680272108843538, 0.8530612244897959]","[0.8149659863945579, 0.8666666666666667, 0.8979591836734694, 0.8503401360544217, 0.891156462585034, 0.9401360544217687, 0.9238095238095239]","[0.8367346938775511, 0.8802721088435375, 0.9061224489795918, 0.8925170068027211, 0.8965986394557823, 0.9346938775510204, 0.9197278911564626]","[0.8680272108843538, 0.8625850340136054, 0.8816326530612245, 0.8367346938775511, 0.9510204081632653, 0.9115646258503401, 0.9115646258503401]","[0.889795918367347, 0.9319727891156463, 0.908843537414966, 0.908843537414966, 0.8925170068027211, 0.9197278911564626, 0.9251700680272109]","[0.964625850340136, 0.8979591836734694, 0.8925170068027211, 0.8680272108843538, 0.9319727891156463, 0.9442176870748299, 0.9510204081632653]","[0.9469387755102041, 0.8571428571428571, 0.8789115646258503, 0.8993197278911564, 0.9006802721088435, 0.8748299319727891, 0.8639455782312925]"
"[0.8722527472527473, 0.8598901098901099, 0.8516483516483516, 0.8997252747252747, 0.0, 0.0, 0.0]","[0.804945054945055, 0.8956043956043956, 0.929945054945055, 0.0, 0.0, 0.0, 0.0]","[0.8846153846153846, 0.9436813186813187, 0.9464285714285714, 0.0, 0.0, 0.0, 0.0]","[0.9684065934065934, 0.8598901098901099, 0.9120879120879121, 0.0, 0.0, 0.0, 0.0]","[0.9546703296703297, 0.885989010989011, 0.875, 0.0, 0.0, 0.0, 0.0]","[0.929945054945055, 0.9546703296703297, 0.9684065934065934, 0.0, 0.0, 0.0, 0.0]","[0.9560439560439561, 0.8255494505494505, 0.864010989010989, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
