"[780.689325490937, 774.1293929499893, 776.191768589869, 776.4888482981755, 771.7916143590389, 769.6653724635707, 773.6021400765468]","[766.2592552498378, 774.3222079966014, 773.7779567438978, 774.4895448066909, 781.7250884024196, 773.5699497394024, 778.9179959762008]","[773.4279158909379, 778.8914581746266, 770.4043826739858, 780.6596511391704, 771.9632296225611, 774.213800553097, 778.6981995515746]","[769.4441028236135, 771.8797283728757, 779.9458836997835, 777.7105327971743, 769.8290862967939, 773.3228885015674, 782.2122932856439]","[777.7029313190825, 768.2049557413987, 780.3403534431633, 773.7001813348405, 791.7150605765945, 768.9607341283747, 779.3549667657471]","[770.2342705069126, 772.7640131068674, 772.4680599547795, 778.7779753616198, 774.7238835284641, 776.3671396932286, 777.8917471136913]","[772.2679069226051, 776.2546255430291, 778.7918493821664, 778.042134227757, 777.3072591808495, 771.1260842093709, 773.5467795790897]"
"[470.5923329474089, 465.4026835556301, 466.24993998327, 465.6253499331677, 0.0, 0.0, 0.0]","[467.64294765898126, 463.49520363765214, 474.10536960237323, 0.0, 0.0, 0.0, 0.0]","[464.2517492848807, 469.21705225919794, 466.5032460815052, 0.0, 0.0, 0.0, 0.0]","[474.84391173664983, 474.2543652245146, 473.8528923084911, 0.0, 0.0, 0.0, 0.0]","[466.64987558491043, 468.44791242446126, 467.5430628703344, 0.0, 0.0, 0.0, 0.0]","[478.2950922211281, 468.3551568882129, 470.7489652100065, 0.0, 0.0, 0.0, 0.0]","[459.85070805580165, 463.29944120240714, 468.48375129963733, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
